Episode,Total_Reward
1,-103.46922356496937
2,-73.03895666660947
3,-163.02169764720549
4,19.439460732327788
5,-109.21293756936198
6,-62.93359860972352
7,-116.18026127266288
8,-415.33337868363066
9,-245.97166902239638
10,-174.10946373767942
11,-90.45809114343972
12,-316.7741594913662
13,-100.78164929078514
14,-98.23436941938985
15,-309.6276856070135
16,-301.3289688078471
17,-101.8701374924053
18,-122.39731855684487
19,-259.5025903468278
20,-101.41255670789006
21,-225.77713024286922
22,-191.65305152238508
23,-64.4957915876324
24,-238.8960616538486
25,-97.83601437684797
26,-100.84921768622553
27,-221.64159811603844
28,-174.48839964010148
29,-331.5002142468759
30,-411.95905377308964
31,-315.40541428438326
32,-341.9201612258049
33,-475.76470597335134
34,-25.752256998146365
35,-67.14676365658073
36,-48.73800477462384
37,-167.8052142171827
38,-112.6263182815909
39,-58.19668896487313
40,-53.97146586702877
41,-174.47529431933023
42,-79.79175823091273
43,-141.9275077973098
44,-96.40781203610712
45,-110.83488693061933
46,-36.03642693169502
47,-180.62499264190188
48,-14.883038588544835
49,-37.94806024567177
50,-168.76251242265062
51,-131.16718880151618
52,-112.36730876786135
53,-173.76260938946314
54,-321.07255382682115
55,-38.64741182244414
56,-58.2331068747256
57,-345.2842320402315
58,-101.62826935522175
59,-111.65309025205677
60,-128.78007647731948
61,-127.64411964541513
62,-43.653332264780346
63,-216.14563366839093
64,-36.834885088773746
65,-120.19423058816109
66,-50.2528672226936
67,-107.95744405341156
68,-168.70745574034416
69,-196.0852312584605
70,-176.30984075099764
71,-119.5111636418469
72,-152.22612943053622
73,-25.43743156570332
74,-82.78291695478703
75,-47.00455959491415
76,-173.2574604965597
77,-106.14653823606467
78,-163.50211370477808
79,-125.86922224192902
80,-277.30473580218506
81,-112.91706528686021
82,-101.21561347474272
83,-14.334497720135772
84,-296.5409948328344
85,-166.84951290093443
86,-303.5559174014412
87,-57.21871596083522
88,-145.0631605189912
89,-203.37244908664192
90,30.079842541503695
91,-176.44708527459233
92,-134.53829478287423
93,46.33346672814872
94,-273.5733128451043
95,-88.12044686107205
96,-358.5172642258351
97,-173.4172964595724
98,-251.7959423885099
99,-128.1133765706408
100,-105.28640681071414
101,-312.2800630266511
102,-419.6234755090992
103,-326.8571453579383
104,-100.14971248208874
105,-143.99313844162228
106,-83.0357243422611
107,-141.99578067261638
108,-326.3260760901309
109,222.56935248101928
110,-247.9350623950699
111,-237.81456948115994
112,-280.23529664536215
113,-258.8257017609636
114,-218.66111303745578
115,-186.1929896903305
116,-131.1542762225321
117,-147.70861926285136
118,-195.41244234853554
119,-229.62201290802088
120,-270.79842962436965
121,-123.93896081638417
122,-70.76764389699974
123,-67.01023035838435
124,-122.2230053202501
125,-90.20764028202487
126,-277.1721164345224
127,-11.827457230869527
128,36.19389365534005
129,-110.0483377977868
130,-221.37104999016157
131,-96.67478469423605
132,-165.48699562771657
133,-165.9059005352946
134,-101.11824652553747
135,-399.4585549906554
136,-88.20202613656153
137,25.758969324371577
138,-95.88028338323821
139,-49.32015456379068
140,-59.67088374080299
141,-55.128699932162405
142,-85.7523649870008
143,-65.831858260715
144,-48.89863348817912
145,-146.43914223414163
146,-226.9312258134729
147,-121.25523416447155
148,-237.13876439214698
149,-82.05708278647137
150,-88.73524366937703
151,-135.50678718039148
152,-113.15530246700499
153,-139.49742182312423
154,-95.62493658589558
155,-56.677168347288394
156,-238.74421632094553
157,-323.2833804200806
158,-117.45868661308904
159,-56.73226622216357
160,-72.49666998652533
161,-96.74171960458516
162,-37.878233270578654
163,-120.97305107874429
164,-47.35281765421641
165,-267.96499032740246
166,-78.81614325370788
167,-58.104511100897554
168,-131.34853778166524
169,-90.97410553568582
170,-270.6061529438819
171,-59.15594559932466
172,-133.48068264315253
173,-78.24041882189165
174,-93.96297681021768
175,-155.80389565658203
176,-124.70441508108335
177,-125.28021648219529
178,-81.41749003948257
179,-77.35802432677987
180,-19.254704322191103
181,-138.77133910307356
182,-88.80874965267697
183,-39.5172019017414
184,-80.35236732660594
185,208.29789357698297
186,-110.31492548351277
187,-117.71074755136438
188,72.04698968181245
189,-133.38738401929635
190,-138.60381213815842
191,-72.25002207784566
192,-121.05817884239265
193,-67.8476118748058
194,-147.85272795062787
195,-78.77586002947622
196,-30.962469261378203
197,-98.51062138832026
198,-112.23216358322128
199,-139.43165668509562
200,-86.34119913013912
201,-35.255267500609946
202,162.0437347028724
203,-56.56753964819444
204,-146.26318296824832
205,-68.06278926981572
206,-85.13382532324805
207,-86.93238774080838
208,-66.65019251462255
209,-83.81776470905044
210,76.5586684971546
211,-86.51541870877139
212,-120.72673531098553
213,-132.57864014288688
214,-71.98170421053592
215,-84.0875398185746
216,-106.56325650920236
217,-145.23385765537304
218,-110.0615965339467
219,-76.87499320123071
220,-34.610319200471594
221,-120.78205523760683
222,-90.33756528675036
223,-136.33634959097316
224,-107.5457994451903
225,-76.35670070584231
226,8.173495385712755
227,-66.72043441756242
228,-66.92523979634453
229,-103.33570293361238
230,-115.7701236909481
231,-77.16067556478954
232,-129.04871056209092
233,-235.97244306472234
234,-73.24871703185303
235,-135.67563689194816
236,-13.412257044815135
237,-79.74042233140801
238,-113.0402295213101
239,-32.6724033896471
240,-39.859345231810465
241,-93.82452555140439
242,-196.19822367644935
243,-12.11321477571326
244,-145.81794170191466
245,-5.106891625500026
246,-76.12193593956096
247,-112.90468482096352
248,-122.7071691348089
249,-135.58915592472985
250,-103.12620793702771
251,-111.87579719515118
252,-145.1457646869775
253,-65.21774093083715
254,-150.30518834886618
255,-245.31319833770974
256,-35.37816137674825
257,-148.16307127349205
258,-107.97288115433213
259,-62.86156429668157
