Episode,Total_Reward
1,-246.56453622214573
2,-261.0117513337519
3,-371.4614559084365
4,-237.37369432829868
5,-175.21724725121152
6,-143.3686548603282
7,-232.64307146149108
8,-337.82925557698013
9,-185.9140681140819
10,-150.52851015272714
11,-136.39228884479527
12,-193.05706666404257
13,-236.4292183630365
14,-203.8961300445079
15,-198.89771051860754
16,-43.68176889125375
17,-200.49754980481592
18,-378.95866957181
19,-163.89851841634527
20,-334.481275735213
21,-285.27730216172625
22,-243.5290642616061
23,-384.15219422724965
24,-258.0693480672344
25,-115.34430436330307
26,-171.32229998581312
27,-275.6803610665705
28,-340.7184284745398
29,-128.87488560543378
30,-337.4758606668663
31,-211.82315636978956
32,-276.53593060692697
33,-213.85428314281467
34,-71.91260778314444
35,-193.04988674426176
36,-140.9675425297559
37,-141.65387821968554
38,-192.78223144826086
39,-170.51330880920636
40,-299.0270199661538
41,-208.50434153931252
42,-234.78194603916722
43,-182.2975631247815
44,-218.1092859690176
45,-124.6654765639277
46,-234.36823631937946
47,-261.22878468377166
48,-100.45281194435019
49,-153.29893756910496
50,-104.54386430255039
51,-183.18625386923907
52,-174.96493201968173
53,-296.81591679145265
54,-162.42232482762802
55,-308.1260208188177
56,-331.18362154411386
57,-77.55769144964601
58,-181.5619521577479
59,-352.09381120740676
60,-427.62902555551574
61,-127.3094127900392
62,-90.40902850079439
63,-203.71508294245785
64,-160.60736558976203
65,-100.74086485559693
66,-294.0671713415351
67,-333.966357528507
68,-194.31043505625138
69,-130.304361931019
70,-175.110197365337
71,-270.438243561584
72,-137.65718186278798
73,-116.02190092061988
74,-125.87005756268579
75,-153.14691928418875
76,-157.7937392943357
77,-211.94371940088502
78,-233.32116866399937
79,-312.43160123750874
80,-283.7230463413574
81,-60.891292702635226
82,-273.3475810381756
83,-261.7422113728592
84,-160.8059300791107
85,-125.65511629653258
86,-118.49669012818903
87,-168.73656026477542
88,-106.32705006450944
89,-122.63105495092707
90,-61.577406862050196
91,-220.81157419778202
92,-50.71848772162477
93,-165.06645320894103
94,-225.46403872939953
95,-37.00382672220505
96,-103.24175339134713
97,-171.09303893126477
98,-188.44086003895103
99,-270.24906249520023
100,-167.107883524068
101,-273.8900290267356
102,-99.49374326847513
103,-141.402375908728
104,-105.73379630815577
105,-31.298674159655818
106,-152.01809268239322
107,-211.3049310545478
108,-195.54818170377527
109,-286.56055802729156
110,-132.40267169326037
111,-60.91428401437028
112,-89.96684408996666
113,-113.99055655002064
114,-255.32358173438197
115,-191.57755581710865
116,-301.0073895339171
117,-201.91742827237812
118,-244.30814580252297
119,-144.33089408204208
120,-128.50320899575752
121,-193.7657065239371
122,-188.55128865977076
123,-164.58989255331653
124,-154.22508134300284
125,-64.23211146284774
126,-194.50437018026523
127,-72.66911199438869
128,-164.28256117638165
129,-223.90989983121432
130,-100.18144501206987
131,-192.83350542466377
132,-149.4378313222756
133,-122.34673025175329
134,-118.92750232380072
135,-169.69073148124022
136,-221.64444384358933
137,-124.41940552982346
138,-174.79094181958874
139,-239.69473640388165
140,-125.21641745780803
141,-176.51971760366624
142,-162.15575649019667
143,-148.8477105085887
144,-212.29670607829206
145,-156.7182622669539
146,-215.0799854202611
147,198.54758524927854
148,-117.26347614685113
149,-127.06264290528492
150,-87.54389738313589
151,-190.03942804391184
152,-157.8773264570216
153,-243.25099226189275
154,-112.54139233169496
155,-150.71051790493294
156,-492.26632953417464
157,-189.0312228969823
158,-84.14749789804019
159,-123.95037256119444
160,-135.8277261415567
161,-122.68622500167979
162,-138.06669689715056
163,-167.79060726611107
164,-167.81801957125833
165,-138.65595506696116
166,-149.46540449910898
167,-159.24856025526378
168,-366.55027212270545
169,-154.226211688067
170,-35.5892938211163
171,-165.74157995938535
172,-162.01621820085364
173,-87.28160549004463
174,-162.21582293549136
175,-209.94665937851934
176,-158.00925194523325
177,-142.41102452910135
178,-120.28865780242884
179,-203.00408863718414
180,-157.28024566263468
181,-25.375602445229532
182,-222.54239492101377
183,-95.89857696624253
184,-304.3500679726691
185,-115.9336700097981
186,-156.46553889980834
187,-135.6147042993655
188,-181.12317905112306
189,-238.05636457972597
190,-149.59800860555242
191,-311.70479728640146
192,-138.36539987937778
193,234.35448679501118
194,-142.49672195302907
195,-85.4350031383576
196,-114.68003535805943
197,-107.09810485931874
198,-132.0943846451682
199,-255.742608293985
200,-125.67453180603977
201,-284.6917660684546
202,-108.7537029376983
203,-244.37520268860544
204,-127.932502706561
205,-104.65142113055813
206,-90.56467634920321
207,-170.4429897469292
208,-177.94474128103732
209,-213.0620819724416
210,-175.43613105655683
211,-176.0021719257249
212,336.60450421986684
213,-307.9489678386374
214,-195.15008742888654
215,-61.77635425578866
216,-52.56506754403708
217,-176.61249676078268
218,228.82274538193735
219,-191.06601491146102
220,-34.19169659538778
221,-117.74714614132407
222,-157.24548204463582
223,132.0370459182136
224,-79.50297076033507
225,-131.67834470903327
226,-143.07941272067364
227,-151.1310810342942
228,-142.43076445893658
229,-116.28804819279394
230,-298.5579201630583
231,-105.10053328279129
232,-293.5608496749539
233,-133.39835778886948
234,-111.73737842127663
235,-378.7124803431914
236,-95.52034690821341
237,-152.9983231452876
238,-329.20252079520407
239,-169.13467483826037
240,-306.6125663318831
241,-330.0741934432037
242,-71.66174254507459
243,-172.13722527853787
244,-119.78158540966258
245,-130.33745193589428
246,-129.18677549031068
247,-147.04785668882906
248,-136.65726348383154
249,-136.0082115244533
250,-133.80650957414733
251,-211.092667818008
252,181.51564869537077
253,-142.0728644180635
254,-56.3705271508678
255,-90.60786057351108
256,-165.1305883259803
257,-120.71500878394347
258,-260.16695081867454
259,-180.08983964286506
260,-220.2881813829178
261,-113.59065064753426
262,-96.78668539919133
263,-157.94043649335077
264,-61.235927697054336
265,-131.70028336563075
266,-128.0129355759814
267,-148.5443312700857
268,-81.59327566665648
269,-108.70138752912779
270,-90.58743984216974
271,-178.43840495911334
272,-194.2003015958582
273,-206.05147953234533
274,-121.89694961754293
275,-127.74702197848504
276,-119.48871606826978
277,-175.3448153733852
278,-169.11407093729287
279,-214.58545817735725
280,-147.31007516910796
281,-153.88119249897136
282,-101.95773993011096
283,-183.53940707101097
284,-99.64058488361258
285,-274.79094395881555
286,-188.994686151619
287,-128.6981092865452
288,-166.68664122309795
289,-144.7007478272185
290,-173.03552405821864
291,-148.2109360756245
292,-135.6020104187277
293,-74.7055054737128
294,-166.18316364348857
295,-164.65906679208848
296,-16.936390196987844
297,-78.11384276209218
298,-190.892497889558
299,-214.52566655350012
300,-318.3209551041141
301,-325.80223008129826
302,-114.58838446494481
303,-114.91496719289349
304,-289.1426552227417
305,-19.162956894760768
306,-160.6029802682529
307,-129.7391631969895
308,-178.4107280926865
309,290.1615631631262
310,-107.50904008144109
311,-123.38699378711249
312,-105.03320273663654
313,-126.79517762095267
314,-209.45537833397253
315,-115.59414024956716
316,-130.83894603845022
317,-42.065597470365304
318,-86.14145888035227
319,-253.62030291503902
320,-62.668819675320165
321,-240.98969846321836
322,-177.50036628024054
323,-177.29144917065352
324,-135.0494927551762
325,-176.91950354763344
326,-162.62217639745018
327,-135.17023454663328
328,-184.73719600514238
329,-97.51753457845064
330,-267.95238433170766
331,-264.3484687783109
332,-117.89043924893934
333,-102.0037144467106
334,-101.10564392061755
335,-159.5516818990375
336,-125.94057098007934
337,-475.3277094383555
338,-113.16391637561712
339,-136.60455034864594
340,-277.19977806636246
341,-123.4337560373865
342,-115.07003992345007
343,-166.10092549168195
344,-181.60502646052507
345,-173.83124348686073
346,-144.49173262446524
347,-172.3615271303618
348,-184.2349400195726
349,-66.74766226255211
350,-109.2513584839418
351,-104.51169607511008
352,-146.8357358852674
353,-237.22951318287443
354,-120.97289772329002
355,-243.7254362321995
356,-153.290988326355
357,-119.77637745775274
358,-134.5392243325895
359,-135.55788823388485
360,-23.587256054940994
361,-120.60972482307642
362,-73.66321619738164
363,-154.86919644104046
364,-147.0365863488604
365,-260.3708997215531
366,-204.42299712456142
367,-104.54962653627166
368,-191.58914078642653
369,-109.155626907871
370,-211.33370327132585
371,-136.08477454840587
372,-306.789287324745
373,-189.84655972992772
374,-68.01941271347765
375,-238.8533213777104
376,-92.43483648946022
377,-28.424448449237133
378,-190.99026397084515
379,-103.10363760140304
380,-41.87689164838517
381,-188.4422139767654
382,-168.61095113156486
383,-154.21776210726992
384,-160.40250857743362
385,-121.09840413207014
386,-91.46069321532539
387,-171.34118738037813
388,-355.20854529901317
389,-124.88328640720653
390,-200.2599546908689
391,-128.77191578015814
392,250.841018503262
393,-169.01730583980518
394,-123.4510646031089
395,-112.99518206052433
396,-247.304820663515
397,-133.8968132157502
398,-229.79296839104074
399,-118.95988265511949
400,-143.65701227792943
401,-149.97649358315368
402,-215.3301845768869
403,-221.8493002976985
404,-183.44431372056337
405,-194.64151666809494
406,-149.02559608756843
407,-176.35856408644193
408,-161.20196092551924
409,-159.91031621937967
410,-312.1840243745196
411,-168.22048049096776
412,-138.40815024635518
413,-245.57693543749082
414,-203.78628355776357
415,-85.29498998956831
416,-119.84450228421605
417,-257.6266956253146
418,-75.20382902843326
419,5.846316985637969
420,-278.3956634344556
421,-138.16797442757812
422,-114.14138737155307
423,-8.024920755347523
424,-134.4780730923934
425,-118.58183430091924
426,-7.767902141280459
427,260.75365633381847
428,-153.23052763086952
429,-160.9853750016415
430,-262.2697719408087
431,-23.08206708428871
432,-163.8073401989327
433,-133.5527295598111
434,-140.74942180793437
435,-160.59144748877094
436,-152.5814777743011
437,-185.16237640433414
438,-17.545520483012922
439,-193.98534214073857
440,-65.3497285812833
441,-199.59426620791314
442,-94.20282722077954
443,-207.47667415726045
444,-123.9494728328347
445,-184.34581956307957
446,-52.712527536979394
447,-77.09320335802325
448,-87.87332088254135
449,-168.26076837749417
450,-144.60972118193885
451,-187.19559200315186
452,-176.39935545443922
453,-145.46973964279758
454,-109.33223912934842
455,-133.74677743641567
456,-368.4339856599177
457,-136.02913869204608
458,-207.9318464376547
459,-257.27157597502355
460,-162.35568535648326
461,-107.70983075773252
462,-139.5893052081101
463,-37.038912442141395
464,-155.0872228735359
465,-188.42817361774922
466,-205.42902155336188
467,-168.60283441052636
468,-92.66463272439007
469,-353.6176263774384
470,-311.2264308812179
471,-28.828996316871724
472,-82.5788784376997
473,-260.52660513218666
474,-270.59842870724395
475,-27.102539576575282
476,-223.5603532562523
477,-168.98012792785397
478,-206.76952464228188
479,-57.391010118838494
480,-88.77334079520512
481,-66.70847466493129
482,-335.84678209961567
483,-198.7646574755887
484,-113.14169792626942
485,-228.821937518162
486,-179.40773997508796
487,-152.65442595255163
488,-178.91486812909008
489,-190.21597815148337
490,-141.42776568831482
491,-198.29683334908464
492,-291.49203461120374
493,-225.62583278218816
494,-217.15619979158902
495,-122.17839878253511
496,-151.62953813649983
497,-213.3659804407921
498,-170.69721974835483
499,-200.84532461828306
500,-184.59115872664063
501,-164.18341654975086
502,-178.22366664775433
503,-56.74528647515987
504,-255.22704963688403
505,-71.15566600267483
506,-93.15849976155789
507,-53.36151274447228
508,-141.73221900959788
509,-76.98284057187554
510,-186.4508818802489
511,-167.35513139962848
512,-106.42430056472497
513,-133.1106345615727
514,-137.75379694357747
515,-108.43472723574781
516,-148.69851294310462
517,-196.61074394168287
518,-189.8780146757603
519,-109.77241214339126
520,-107.45815131632494
521,-189.5164460869126
522,-135.14830696283204
523,-118.52313098762906
524,-161.2803753217504
525,-121.51604381189922
526,-135.6441205884556
527,-137.46421126203387
528,-279.62104874525846
529,-145.32750252250446
530,-121.35816459270026
531,-118.42570059327423
532,-181.93501188774763
533,-118.63801519547516
534,-234.0304795075877
535,-186.98675616945354
536,-166.6988846615335
537,-141.0813149265412
538,-114.18714811049065
539,-290.942382344391
540,-129.41393460659827
541,-130.50306032168604
542,280.69844238624586
543,-156.6916265010908
544,-112.34061275489061
545,-145.05239569188734
546,-122.82504283973421
547,-193.6760642965251
548,-48.645792232178735
549,-112.13598462688361
550,-102.12392057954298
551,-241.13320105499145
552,-65.2454341318211
553,-134.34006423833796
554,-154.71114362432579
555,-131.63087538342074
556,-117.46192740878283
557,-79.6170893007833
558,-96.53249859742402
559,-155.55425744671086
560,-123.43187420459628
561,-138.15227754560107
562,-350.30881520557466
563,-113.31320526374031
564,-82.95537307945628
565,-51.59603699476155
566,-156.57413871557156
567,-86.66382138853182
568,-107.88912844252907
569,-55.2387900060976
570,-191.79986592485847
571,-76.39238875974698
572,-102.3885495992225
573,-169.94423722979087
574,-103.94465093662141
575,201.18703750228138
576,-173.9318897962539
577,-190.5835717887589
578,-148.58855739163022
579,-140.12971818004533
580,-96.8980964382061
581,-134.43023787197097
582,-152.77616356105523
583,-148.4327644137635
584,-176.90987963979603
585,-186.99238739422526
586,-126.29506283373209
587,-285.90930675970765
588,-85.79658453873569
589,-72.23871235131836
590,-149.6570859112494
591,-58.67107133360769
592,-131.85804535409363
593,-169.78408294888982
594,-85.52665587273867
595,287.0515491701103
596,-146.51600941356386
597,-88.7079745308697
598,-185.3913013959796
599,-79.72320353386895
600,-198.5832753729139
601,-178.26091382173334
602,-352.76112732874185
603,-132.45983127065023
604,-213.2727116109504
605,-197.1868579861483
606,-155.064453804244
607,-26.694897365785337
608,-227.80955764693064
609,-30.997649648974118
610,-218.06799677850682
611,-295.91797318183
612,-109.44922682550245
613,-16.538205240544826
614,-144.63276095090538
615,-227.9753604721502
616,-155.27591013617902
617,-212.41283999257172
618,-182.6504382900556
619,-125.39354892645913
620,150.03354979814262
621,-9.40661788578825
622,-206.31814014878586
623,-183.97183197670432
624,-160.1070241823572
625,-233.9217680842479
626,-177.79313706503896
627,-251.39351531708144
628,-166.41903940915716
629,-159.7465194405749
630,-153.97109085503314
631,-51.72090044727241
632,-135.52821989017067
633,-160.03682078791914
634,-489.4979872631247
635,-104.89603160511615
636,-181.70261884328443
637,-262.1792996057841
638,-185.4231473790801
639,-157.8524133009529
640,-150.28678385367016
641,-404.63365654286065
642,-179.37476717777125
643,-452.9939973479117
644,-165.91582980099554
645,-56.89702388106457
646,-121.01980716840751
647,-150.81318397459012
648,-150.5733629690724
649,-357.04664779828653
650,-251.81208651172875
651,-436.0691626398379
652,-81.68776097604655
653,-354.86236171898287
654,-48.510935067933495
655,-200.05273329598268
656,-163.78440650284807
657,-138.52123888594025
658,-77.1898312409514
659,-181.19762251726442
660,-145.9939898577355
661,-209.63037379590784
662,-156.5670718109621
663,-168.12739492026842
664,-137.24103184479173
665,-154.54726155333404
666,-217.2765628205549
667,-152.15864353044964
668,-187.71045142675706
669,-171.9745426235466
670,255.46584418241412
671,-152.88505802622336
672,-137.64683996258063
673,-102.9779521724813
674,224.5040460026491
675,-200.36211194292514
676,-78.12737236588504
677,-186.61985881701705
678,-146.77450165310793
679,-148.6194258912289
680,-123.9648797106048
681,-89.76904372084539
682,-69.48848424821173
683,-158.47960004725348
684,-196.17601186234253
685,-170.74818522894236
686,-206.05664549416798
687,-126.96260952512007
688,-157.18850721603047
689,-193.62683149165295
690,-13.438541245956657
691,-20.947118675052792
692,-258.2269026584512
693,-196.79195088144786
694,-48.910825246707304
695,-228.46084362835396
696,-139.52394919093754
697,-79.11947555191409
698,-13.151177041841208
699,-132.19108014823067
700,-170.2025689272073
701,-93.26753016954183
702,-41.438193940766766
703,-196.78737073734635
704,-32.090392523804226
705,-205.00418379073255
706,-167.72251686397425
707,-46.6468269121887
708,-241.82513720388647
709,-54.513452501995246
710,-56.91042785472132
711,-58.16361668795629
712,-127.83580472577873
713,180.20420893605834
714,-46.24408605076863
715,-71.89319042801267
716,-180.23900595358919
717,-36.68664478123334
718,-209.18539705407224
719,-177.0899052165986
720,-139.54913362421394
721,-125.99809791493857
722,-319.33789776324573
723,-56.24603805090101
724,295.20326805202853
725,-97.08069434915255
726,-146.67816889051673
727,-112.90952218226406
728,-137.05748328818677
729,-93.96678453737789
730,-43.27068885931867
731,-71.55369906899483
732,-193.4865466059417
733,-158.82616004978286
734,-196.33844384021594
735,-119.67869130730867
736,-185.90136084109326
737,-233.0510486836023
738,-165.12962530951498
739,-272.07051831749976
740,-157.81329642235656
741,-202.01791703581588
742,-128.9260282402448
743,-117.19366441471286
744,-226.07413112614051
745,-16.868403540031977
746,-173.74904449390115
747,-245.29117853531517
748,-219.1270440347966
749,-173.24262526931864
750,-92.19071195833658
751,-149.81089711461087
752,-229.70379779190023
753,21.537410200316316
754,-104.98978296632814
755,-147.4154933157219
756,-257.4350596734088
757,-94.91765627639313
758,-78.74468290988973
759,277.61565390021644
760,-130.3153895241503
761,-70.1971806158304
762,-189.69141429141212
763,-240.05900185779137
764,-29.58693242459681
765,-109.79438285691396
766,-215.7445233080674
767,-75.70350818605291
768,-163.05302302828449
769,-62.01769733774273
770,-52.266604721851834
771,-58.31341066677206
772,-133.19588312398915
773,-379.3384928934672
774,-89.57487618461451
775,-42.61361682424604
776,-125.77051087674144
777,-149.83403265037526
778,-184.92059637349666
779,-126.15504011556135
780,-39.70536068624678
781,276.0272905146481
782,-134.13948044155222
783,-115.91207539939236
784,-74.9523905087312
785,-101.90338464375895
786,-123.35836407121995
787,-195.01929436766477
788,-283.0581502259879
789,-126.97532075100068
790,-183.1966587752561
791,-107.56070642609853
792,-206.26912807862976
793,-269.4153872222895
794,223.43373662595667
795,-264.08118081822045
796,-53.16073124484441
797,-84.24224853811855
798,-259.2050603505082
799,-135.57080601427904
800,-184.79434903422288
801,-273.67464759368573
802,-82.45181636206783
803,-106.22944755753839
804,-61.421576971635176
805,-467.2866598669224
806,-320.6952561271157
807,-137.53491154276122
808,-82.84230009740864
809,-139.37737512659882
810,-303.5237551396686
811,-140.12883955608905
812,-144.57889547763128
813,-120.96770509969673
814,-401.5029204112812
815,-46.941424597008975
816,-85.62174958080402
817,-101.11921192217953
818,252.32935284263417
819,-164.49551746881858
820,-165.71713202919207
821,-235.23780176117305
822,-184.4650009138447
823,-230.66637279242596
824,-360.9189809356227
825,-354.39349841323894
826,-115.59377136617633
827,-281.40780169124474
828,-226.79466193999554
829,-225.80814000852067
830,-272.2423713090372
831,-223.3784960341937
832,-264.08025773511577
833,-238.66762083354163
834,-164.55482332316862
835,-221.82301660076308
836,-123.4853523710959
837,-107.21176202301938
838,-162.07939090594812
839,-164.3387899341317
840,-192.0154540977471
841,-142.72320065927056
842,-429.750467401031
843,-306.55025004762854
844,-228.8662603189489
845,-154.19200300090353
846,-229.65523480504473
847,-139.39145944649366
848,-173.63875224315598
849,-210.3680337937393
850,-49.93659170954243
851,-209.97652409559916
852,-72.8243923163472
853,-205.1054947393366
854,-159.2094379028558
855,-141.85664727787673
856,-114.78716393197321
857,-162.48757422287827
858,-92.3243476203043
859,-48.46564640336804
860,-117.06855576542576
861,-237.46196249039446
862,-114.83561628076461
863,-167.82840947634247
864,-122.67411965697167
865,206.02470448979503
866,252.09006850284806
867,-178.08004673131546
868,-164.96586573265745
869,-150.84553235559414
870,-147.68184196637188
871,-108.27294961591144
872,-158.79990503226574
873,126.71174819874622
874,15.891206185818481
875,-202.73544918051115
876,123.44869586373989
877,273.8191362345861
878,-185.14048383138385
879,-135.53542087472997
880,-133.66922876047386
881,-212.329216646529
882,-148.78121808590845
883,-194.2367715093474
884,201.01511260802076
885,-212.29714666777596
886,-154.3608709921026
887,-142.66960266670534
888,-263.396021066271
889,-212.6572584115566
890,-239.56569791180561
891,-101.70287751126452
892,-249.00173902400658
893,-192.2162249925322
894,-71.93047044632459
895,-220.12959849483477
896,-126.28641451001532
897,210.9639219819295
898,-147.75833982211307
899,237.17005367760203
900,-151.71096230598872
901,-212.26375738642759
902,-31.720989937724298
903,258.956653976108
904,-201.04160029089502
905,33.23572809093879
906,-185.66446282397033
907,-114.22358497524087
908,-248.6676039773295
909,-43.77285024075808
910,221.45087905370792
911,-125.50253863309585
912,-222.43252805194632
913,-248.76798254907814
914,-226.63592557731243
915,-247.26487132218955
916,-87.57432016279287
917,-153.424774994831
