Episode,Total_Reward
1,-202.57325385576354
2,-130.20219575438074
3,-14.111326712981622
4,-169.45162501408623
5,-225.37571237542033
6,-292.8643388893379
7,-83.40800014886577
8,-97.29333284531663
9,-63.39118135690255
10,-65.72136166074884
11,-339.316704405515
12,-122.47797517379986
13,-88.06853983371455
14,-244.8920460287281
15,-355.93719323426365
16,-106.41890344848339
17,-120.39247327524225
18,-75.14328000312295
19,-220.45034224829965
20,-56.997134591129694
21,-127.20163428843799
22,-178.35583934277747
23,-78.29758872226867
24,-212.05977740864603
25,-158.63791293284714
26,-101.22150847581943
27,-174.47866993622472
28,8.93918706601049
29,-22.376445418317417
30,-113.53396810937498
31,-16.86523679056738
32,-133.5212912473127
33,-149.9456306680741
34,-124.24041917213935
35,-226.11048596759053
36,-106.00176425763794
37,-147.11389130166748
38,-295.36589287865684
39,-133.28051804090805
40,-319.8575624247163
41,-334.9101407162674
42,-104.82901226970922
43,-123.01520266589894
44,-44.41793466309241
45,-111.15104622997987
46,-140.0363271613078
47,-234.6224340254234
48,-90.48468870656097
49,6.801544273858184
50,-68.62628602787716
51,-91.65576829133852
52,-55.66103603292419
53,-205.9823704936747
54,-221.52048411356344
55,-260.5429900376462
56,-339.2618082142033
57,-29.42721693375381
58,-140.71016196419652
59,-266.1131021503631
60,-100.83421756032416
61,-269.6326642180594
62,-193.7468831704807
63,-229.77896212139794
64,-143.66203107935956
65,-131.55521547153666
66,-297.0461695943426
67,-139.51051369046752
68,-196.66018339117096
69,-229.80386715767864
70,-98.3217936724241
71,-236.07886328319012
72,-478.13289294333237
73,-148.0432360840872
74,-117.23476382483847
75,-82.07341182362896
76,-266.34341452235446
77,-313.64945956799363
78,-192.69247783449765
79,-283.38735018657076
80,-131.5046973706418
81,-46.379216750461936
82,-248.20423008523187
83,47.6767391677931
84,-107.61043505253573
85,-134.48695220005544
86,-140.39058453086443
87,-98.08307979619647
88,-105.33842708205746
89,-89.45900790489476
90,-287.82603823833216
91,-70.43664345858872
92,-143.5237111236004
93,-134.68841117750273
94,-128.9774106362997
95,-133.0873588536316
96,-76.12489121457813
97,-68.89544713879073
98,-83.92677344211864
99,-109.31431040317017
100,-76.93415131605289
101,-37.51335544074736
102,-167.0174058242542
103,-64.38439761011045
104,-6.642241036923949
105,-191.51543366410306
106,-147.8218451471364
107,-229.01786562002596
108,-314.1245496623128
109,-179.18552692639634
110,-232.85314569714802
111,-275.875987737419
112,-77.18606098868433
113,-105.31878629648655
114,-336.89767897506863
115,-252.37410395977062
116,-193.06458514252546
117,-134.78721038998725
118,-73.34851062642164
119,-67.55259258428356
120,-118.89101218702694
121,-96.9303060957311
122,-65.92548416816138
123,-63.12546100447625
124,-184.1078120428448
125,-179.20653446184144
126,-139.5489547506425
127,-231.46518503856535
128,-161.10039062721881
129,-83.8101556026417
130,-35.53566874636607
131,-108.17519684568718
132,-261.40281567312246
133,-169.30309656857077
134,-263.7383965385551
135,-62.75274362176634
136,-353.54425113489197
137,-86.97649617852254
138,-15.018573766936598
139,-190.06329494956344
140,-65.56857231888327
141,-298.71007026794894
142,-108.62392648546309
143,-247.66394761085084
144,-106.69617925503289
145,-94.07472000893195
146,-45.766537764295414
147,-104.09683899830907
148,-124.74192045001061
149,-101.01709424056317
150,36.20243495889309
151,-130.8523376554764
152,-52.69374278720164
153,-57.69968501811498
154,-104.7840036836197
155,-27.89961111883578
156,-126.13384228066433
157,11.917940369147118
158,-2.437931226174854
159,-1.7484735837435466
160,-131.69339576718457
161,-220.9164246684328
162,-59.844848748495664
163,-119.6356868771861
164,-137.73082779060996
165,-87.9429654275875
166,-166.30239141853326
167,-128.7703436657214
168,-157.39317289299103
169,-96.27140756395299
170,-211.64790694138955
171,-47.452570844357
172,-212.6254704446616
173,-55.2962798260737
174,0.7892326060150197
175,-173.05883911085664
176,-69.96884592037506
177,-365.25461058494994
178,-341.13700013556934
179,-101.2123539554342
180,-305.0947646945997
181,-260.71747124432375
182,-93.38401994655152
183,-188.13633484921164
184,-171.3301413059272
185,-111.19183518233625
186,-66.70305246246691
187,-260.51987675717896
188,10.537434521865663
189,-346.64797267316305
190,-286.97532877365234
191,-41.04161671152329
192,-169.65839664455734
193,-127.98355299950204
194,-39.35983587427474
195,-92.82722626833979
196,-115.06288758601983
197,-67.46634029302675
198,-117.22022529332001
199,-143.72711956666106
200,-98.58964735384707
201,-88.2553242382286
202,-55.044869498533686
203,-103.38099975811231
204,-89.51033712993087
205,-123.7168719919876
206,-223.59663631487143
207,-148.4407934172412
208,-97.0373366599604
209,-76.08381476403724
210,-117.5635048891568
211,-147.87647208433825
212,-233.27796808169597
213,-79.10057421472484
214,-134.46240875622823
215,-167.283716395758
216,-47.359754749883166
217,-123.6053424799237
218,-80.82639398574409
219,-164.53172411902966
220,-80.40677715660021
221,-89.71050937456307
222,-122.88665088035884
223,-143.64815770098392
224,18.953736445159052
225,-68.68918953640731
226,-58.234865402074824
227,-63.580087151449604
228,-2.6100166419806214
229,-116.18488010121835
230,-80.37707338420206
231,-108.75492976511156
232,-75.6881077729951
233,-191.85922853209854
234,-106.79189064300928
235,-307.79215683569834
236,-194.18273134217378
237,-128.09232131688015
238,-45.43229709174493
239,-303.54699568449166
240,-221.16742387662345
241,-192.61229073843637
242,-247.435476421607
243,-94.73209317725
244,-64.15425654660645
245,-208.64039355380825
246,-125.72754882388277
247,-67.37719071861966
248,-24.697500911797135
249,-104.24370985254215
250,-104.30021305782233
251,-115.50866975358217
252,-125.25642403492472
253,-59.193560730212766
254,-202.1144975667807
255,-173.28667500420187
